origin_country,total_flights,avg_velocity
Algeria,12,214.49249999999998
Angola,4,145.7375
Argentina,13,178.88230769230768
Armenia,2,227.87
Australia,127,142.4952755905512
Austria,174,154.9128735632184
Azerbaijan,4,237.4775
Bahrain,9,379.5466666666667
Bangladesh,13,125.52538461538461
Belarus,2,77.41499999999999
Belgium,54,109.55518518518518
Bhutan,1,9.44
Brazil,158,148.56588607594938
Brunei Darussalam,1,156.66
Bulgaria,15,206.246
Burkina Faso,1,229.12
Cambodia,2,182.26999999999998
Canada,218,121.60784403669724
Cape Verde,1,232.17
Chile,32,170.375625
China,236,199.65389830508474
Colombia,13,119.52461538461537
Croatia,13,166.32692307692307
Cyprus,4,162.6275
Czech Republic,64,126.24380952380952
Côte d'Ivoire,1,235.24
Denmark,51,136.8164705882353
Dominican Republic,3,223.66
Egypt,33,206.78060606060606
Estonia,11,161.59363636363636
Ethiopia,7,161.24142857142857
Fiji,2,112.935
Finland,41,154.50878048780487
France,233,136.2085407725322
Georgia,4,96.8
Germany,425,134.57576470588234
Greece,64,145.42984375
Guatemala,3,122.59666666666668
Hungary,55,175.862
Iceland,12,177.63083333333336
India,182,166.2120879120879
Indonesia,26,172.1896153846154
Iraq,2,241.72000000000003
Ireland,290,185.67220689655173
Israel,47,165.9827659574468
Italy,56,125.52482142857143
Japan,164,180.07646341463416
Jordan,17,213.51117647058823
Kazakhstan,1,246.6
Kenya,1,242.74
Kingdom of the Netherlands,144,142.15125
Kuwait,8,199.93125
Lao People's Democratic Republic,2,242.81
Latvia,33,192.85
Lebanon,2,240.45
Libyan Arab Jamahiriya,1,19.15
Lithuania,16,122.553125
Luxembourg,30,178.58166666666665
Malaysia,46,184.78065217391304
Malta,195,192.46820512820514
Mexico,27,175.03111111111113
Monaco,3,136.29500000000002
Mongolia,1,222.31
Montenegro,2,177.945
Morocco,17,199.76
Myanmar,3,226.76
Namibia,1,143.02
Nepal,1,238.5
New Zealand,9,54.03333333333333
Nigeria,1,232.54
Norway,73,147.8067123287671
Oman,2,234.935
Pakistan,5,189.514
Panama,14,216.04285714285714
Papua New Guinea,1,5.4
Paraguay,1,97.36
Philippines,26,183.39999999999998
Poland,140,156.13507142857142
Portugal,83,152.53662650602408
Qatar,60,256.35033333333337
Republic of Korea,112,182.62071428571429
Republic of Moldova,2,105.265
Romania,28,161.33142857142857
Russian Federation,48,168.58645833333333
Rwanda,1,198.38
San Marino,8,197.04749999999999
Saudi Arabia,14,199.70357142857142
Senegal,2,39.175
Serbia,19,125.22894736842105
Singapore,37,237.41702702702705
Slovakia,12,120.96083333333333
Slovenia,5,109.074
South Africa,27,137.06888888888886
Spain,209,166.68794258373205
Sri Lanka,3,199.9333333333333
Sweden,102,148.18666666666667
Switzerland,161,130.7573291925466
Taiwan,73,176.72041095890413
Thailand,54,181.20055555555555
Trinidad and Tobago,1,232.67
Tunisia,12,195.25250000000003
Turkey,240,210.09791666666666
Turkmenistan,2,189.585
Ukraine,7,167.6985714285714
United Arab Emirates,99,217.04959595959596
United Kingdom,634,152.1441167192429
United States,3086,152.59465304798962
Uzbekistan,5,171.55
Viet Nam,15,198.12800000000001
Zambia,1,257.98
